CVE, Rietveld Ids, Google Code Issue Ids, Open to public?
CVE-2011-3084,9663045,113496,true
CVE-2011-3085,7191021,118374,true
CVE-2011-3086,"",118642,true
CVE-2011-3087,9720004,118664,true
CVE-2011-3088,4292 4285,120648,true
CVE-2011-3089,"",120711,true
CVE-2011-3090,9950147,121223,true
CVE-2011-3091,9999035 10014040 10052005,121734,true
CVE-2011-3092,39004,122337,true
CVE-2011-3093,"",122585,true
CVE-2011-3094,10024052,122586,true
CVE-2011-3095,10021045,123481,true
CVE-2011-3095,"","",-1
CVE-2011-3097,"",124182 123733,true
CVE-2011-3097,"","",-1
CVE-2011-3099,"",124479,true
CVE-2011-3100,"","",true
CVE-2011-3100,"","",-1
CVE-2011-3102,10263014 10344022 10383012,125462,true
CVE-2011-3103,"",117409,true
CVE-2011-3104,"","",true
CVE-2011-3105,"",120912,true
CVE-2011-3106,10034017 10416007 10413046 10388224 10332233 10535143,122654,true
CVE-2011-3107,"",124625,true
CVE-2011-3108,10382089 10413045 10407086 10356113,125159,true
CVE-2011-3108,"","",-1
CVE-2011-3110,"",127868 127819 127349 126378 126343 126337,true
CVE-2011-3111,10310041,126414,true
CVE-2011-3112,"",127331,true
CVE-2011-3113,"",127883,true
CVE-2011-3114,"",128014,true
CVE-2011-3115,42113,128018,true
CVE-2011-3234,"",89991,true
CVE-2011-3234,"","",-1
CVE-2011-3873,8051024,98089,true
CVE-2011-3875,1569011 523088 8102002 8142009,88949,true
CVE-2011-3876,7607013 7647014,90217,true
CVE-2011-3877,7326023 7518011,91218,true
CVE-2011-3878,7621026,94487,true
CVE-2011-3879,7873007,95374,true
CVE-2011-3880,7796025 7971003,95992,true
CVE-2011-3881,7585037 7664015 7550048 7541079 7566043 7511022 7621003 7600021 7624054,99750 99512 98053 96885 96047,true
CVE-2011-3882,8046023 8080005,96292,true
CVE-2011-3883,7528027,96902,true
CVE-2011-3884,7976039 8055018,97148,true
CVE-2011-3885,7489019 7645001 7621047 7663010 7523011 7616007,99880 99294 98556 98064 97599 100059,true
CVE-2011-3885,"","",-1
CVE-2011-3887,7461146,98407,true
CVE-2011-3888,7658002,99138,true
CVE-2011-3889,"",99211,true
CVE-2011-3890,8139020 7695003,99553,true
CVE-2011-3891,4344002 11311 20156 21290 20275 20288 21282 24012,100322,true
CVE-2011-3892,8392015,100465,true
CVE-2011-3893,8365014 8366004,100543 100492,true
CVE-2011-3894,8392015,101172,true
CVE-2011-3895,8413019 8414025 8439065,101458,true
CVE-2011-3896,8392026,101624,true
CVE-2011-3897,"",102242,true
CVE-2011-3898,8428011 8439027 8481013,102461,true
CVE-2011-3900,21425 19744,103259,true
CVE-2011-3903,6952015 7058044 7492067 7482043 7891051 7886048 7892036,81753,true
CVE-2011-3904,"",107258,true
CVE-2011-3905,7875008 7886003 7892003,95465,true
CVE-2011-3906,"",98809,true
CVE-2011-3907,8216009 8224023 8302001,99016,true
CVE-2011-3908,"",100863,true
CVE-2011-3909,7747014,101010,true
CVE-2011-3910,8511043 8585024,101494,true
CVE-2011-3911,"",101779,true
CVE-2011-3912,"",102359,true
CVE-2011-3913,7790030,103921,true
CVE-2011-3914,8570009 8573014,104011,true
CVE-2011-3915,"",104529,true
CVE-2011-3916,"",104959,true
CVE-2011-3917,8681006,105162,true
CVE-2011-3919,9072008 9014028 9072018,107128,true
CVE-2011-3921,"",106672,true
CVE-2011-3922,8997001 9014024 9016057,108006,true
CVE-2011-3924,8252003 8252010,106484,true
CVE-2011-3925,8976014 9023016 8958022 8962041 9027024,107182,true
CVE-2011-3926,8139022 8208009 8276010,109556,true
CVE-2011-3927,8207010 8234001 8275007,108605,true
CVE-2011-3928,8249005 8252008,108461,true
CVE-2011-3953,6480106 7222016 8511042 8501002 8524014,73478,true
CVE-2011-3954,8202003,92550,true
CVE-2011-3955,7839035 8619004,93106,true
CVE-2011-3956,8659009,103630,true
CVE-2011-3957,"",104056,true
CVE-2011-3958,8314020,105459,true
CVE-2011-3959,8822005 8873031 8964020,106441,true
CVE-2011-3960,9169023 9200020 9234011,108416,true
CVE-2011-3961,9235052 9297001,108871,true
CVE-2011-3962,6353,108901,true
